"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","9세","총인구수[명]","명","65648","74048","75752","81236","76157","70652","74305","72676","74480","66820","66430","66668",
"서울특별시","10세","총인구수[명]","명","66937","82076","73327","75032","80577","75180","70378","73776","71911","74250","66672","66426",
"서울특별시","11세","총인구수[명]","명","65873","84629","81332","72584","74502","79733","74930","70062","72979","71693","74287","66625",
"서울특별시","12세","총인구수[명]","명","72854","85274","84334","80747","72380","74074","79942","74955","69798","73139","71911","74642",
"서울특별시","13세","총인구수[명]","명","71920","94743","84511","83494","80264","71698","73725","79461","74226","69481","72773","71709",
"서울특별시","14세","총인구수[명]","명","73845","110145","94302","83929","83081","79681","71582","73398","78965","73939","69371","72634",
"서울특별시","15세","총인구수[명]","명","69040","106792","110050","93942","83791","82773","79677","71470","73101","78832","73898","69493",
"서울특별시","16세","총인구수[명]","명","71789","111418","106085","109021","93326","83012","82287","79105","70668","72618","78204","73553",
"서울특별시","17세","총인구수[명]","명","77981","117950","110951","105498","108584","92791","82767","81820","78485","70496","72331","77999",
"서울특별시","18세","총인구수[명]","명","75706","121655","117610","110501","105344","108139","92621","82413","81354","78443","70353","72242",
"서울특별시","19세","총인구수[명]","명","76692","129831","123288","119457","112807","108040","111662","95406","84649","86227","83411","75444",
"서울특별시","20세","총인구수[명]","명","84617","134410","130443","124384","120957","114742","110727","114046","97483","88938","90143","87480",
"서울특별시","21세","총인구수[명]","명","93258","135441","134941","131324","125632","122499","117160","113005","116240","101673","91928","92749",
"서울특별시","22세","총인구수[명]","명","97401","144014","138448","137974","134735","129725","127846","122481","117703","123683","107831","97032",
"서울특별시","23세","총인구수[명]","명","110390","147248","148442","143570","143930","141389","137538","135873","129512","126585","131911","115026",
"서울특별시","24세","총인구수[명]","명","134301","140066","151509","153476","149420","150560","148693","144710","142139","137495","133245","138282",
"서울특별시","25세","총인구수[명]","명","141615","143388","144425","156688","159845","156527","158278","156132","151566","150334","144366","139207",
